"pub_date","snippet"
"2016-01-01T15:22:43+0000","clemson will tri becom first 150 team fbs histori alabama chase fourth titl seven year"
"2016-01-01T15:29:15+0000","ever missouri flood show communiti continu ignor hydrolog realiti"
"2016-01-01T15:40:24+0000","intern herald tribun archiv italianown airlin keep fli south america 1941"
"2016-01-01T15:45:36+0000","now 87 artist seen interest increas work find evanesc everyday"
"2016-01-01T16:01:27+0000","modern art roar old master young star lost valu"
"2016-01-01T16:05:29+0000","thursday’ win clemson coach dabo swinney said “’re go natty” mean say “ colleg footbal playoff nation championship”"
"2016-01-01T16:08:54+0000","presid obama will meet attorney general loretta e lynch monday discuss can curb gun violenc sidestep entrench congress"
"2016-01-01T16:15:03+0000","pea mustard green pizza dough alfr lord tennyson recip new year"
"2016-01-01T16:33:22+0000","deliber plan leisur concentr activ refresh reinvigor may actual mean fun less money"
"2016-01-01T16:35:09+0000","rival campaign seem count mr bush’ alli longshot plan hope will win republican nomin"
"2016-01-01T17:07:04+0000","new nbc drama “shade blue” mr okeniyi play rooki new york citi detect make dead mistak drug bust"
"2016-01-01T17:11:26+0000","ms depalma chef prize flavor eye appeal help make babbo one manhattan’ belov admir restaur"
"2016-01-01T17:13:50+0000","first attack new year began bomb blast restaur neighborhood mani foreign live 12yearold boy kill"
"2016-01-01T17:26:25+0000","heel soul cycl come orangetheori mystic monitor broadcast perform whole class"
"2016-01-01T17:45:43+0000","presid recep tayyip erdogan seek imbu larg ceremoni offic sweep power cite hitler ask whether strong presid possibl turkey"
"2016-01-01T18:00:09+0000","smart lock associ app allow owner tenant landlord remot allow access home track come goe"
"2016-01-01T18:00:35+0000","home actor upper west side late ’s walk work film “anesthesia” shot neighborhood"
"2016-01-01T18:00:38+0000","actor writerdirector “anesthesia” new film live wife lisa benavidesnelson son"
"2016-01-01T18:00:45+0000","week properti greenwich villag chelsea boerum hill brooklyn"
"2016-01-01T18:00:48+0000","week properti east villag chelsea boerum hill brooklyn"
"2016-01-01T18:01:29+0000","week’ home includ sevenbedroom victorian lloyd harbor ny fourbedroom coloni fairfield conn"
"2016-01-01T18:01:31+0000","week’ home includ sevenbedroom victorian lloyd harbor ny fourbedroom coloni fairfield conn"
"2016-01-01T18:02:08+0000","grand parkfac apart exclus coop build 834 fifth avenu sale week"
"2016-01-01T18:07:55+0000","fantasi footbal season mani still play player like week 17"
"2016-01-01T18:10:27+0000","ms cole grammi winner whose biggest hit “unforgettable” virtual duet father nat king cole top 1991 chart"
"2016-01-01T18:20:26+0000","highscor star will play three metropolitan area nhl team next four day drop goalsallow averag 246 game 313 last season"
